Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Lead Investments,Number of Portfolio Organizations,Number of Exits (IPO),Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industry Groups,Industries,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status
Plus Eight Equity Fund LP,https://www.crunchbase.com/organization/plus-eight-equity-fund-lp,Venture Capital,16,1,"Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",Plus Eight Equity Partners is an early stage venture capital firm that invests in music technology companies.,2,12,,Active,2014-01-01,year,http://www.plus8equity.com/,https://www.linkedin.com/company/plus8equity,"Financial Services, Lending and Investments, Media and Entertainment, Music and Audio","Finance, Music, Venture Capital",2,"John Acquaviva, Richie Hawtin",1-10,"Early Stage Venture, Seed, Venture",,,Private
Smart Infrastructure Ventures ('SIVentures'),https://www.crunchbase.com/organization/smart-infrastructure-ventures,Venture Capital,16,1,"Leipzig, Sachsen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Opportunistic early-stage fund investing in German software-based startups focussing on energy, proptech, security, health etc.",2,12,,Active,2019-01-01,year,http://www.smartinfrastructure.ventures,https://www.linkedin.com/company/smartinfrastructureventures/,,,3,"Björn Bauermeister, Dirk Frohnert, Eric Weber",1-10,"Convertible Note, Early Stage Venture, Seed",,,Private
Rivus Capital,https://www.crunchbase.com/organization/rivus-capital,"Family Investment Office, Private Equity Firm, Venture Capital",16,1,"Munich, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Rivus Capital is a technology investment firm engaging in venture capital, private equity and crypto investments.",4,13,,Active,2021-09-01,day,https://rivuscap.com/en/,https://www.linkedin.com/company/rivus-capital/,"Financial Services, Lending and Investments",Venture Capital,2,"Michael Peter, Simon Math",1-10,"Early Stage Venture, Seed",,,Private
True Growth Capital,https://www.crunchbase.com/organization/true-growth-capital,"Angel Group, Venture Capital",16,3,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",True Growth Capital is a Berlin-based group of founders that invests and incubates in early-stage ventures.,1,14,,Active,2018-01-01,year,https://www.truegrowth.de/#,https://www.linkedin.com/company/truegrowth/,,,2,"Marco Vietor, Paul Crusius",1-10,"Convertible Note, Early Stage Venture, Private Equity, Secondary Market, Seed, Venture",,,Private
Innoport,https://www.crunchbase.com/organization/bernhard-schulte-innoport,Venture Capital,16,,"Hamburg, Hamburg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Innoport is a Seed investments in the maritime, logistics and other related industries.",3,12,,Active,2018-01-01,year,https://innoport.vc/,https://www.linkedin.com/company/bernhard-schulte-innoport,"Science and Engineering, Sports, Transportation","Boating, Logistics, Marine Technology, Marine Transportation, Shipping",,,1-10,Early Stage Venture,,,Private
Noaber,https://www.crunchbase.com/organization/noaber,Venture Capital,16,1,"Lunteren, Gelderland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",Noaber Ventures invests in initiatives that bring social transformations using information technology.,4,12,,Active,2000-01-01,year,http://www.noaber.com,https://www.linkedin.com/company/noaber-foundation/,,,2,"Mineke Baan-Pas, Paul Baan",11-50,Late Stage Venture,,,Private
D64 Ventures,https://www.crunchbase.com/organization/d64-ventures,Venture Capital,16,,"Toronto, Ontario, Canada",Great Lakes,D64 Ventures is an early stage investment firm specializing in crypto native assets.,,16,,Active,2020-01-01,year,https://d64.vc/,,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, Ethereum, Hedge Funds, Venture Capital",1,Aaron McDonald,1-10,"Early Stage Venture, Seed",,,Private
Candaq Fintech Group,https://www.crunchbase.com/organization/candaq-fintech-group,"Accelerator, Incubator, Micro VC, Venture Capital",16,,,,"incubation of fintech and blockchain-based start-ups, including big data, artificial intelligence, internet of things and new energies.",,15,,Closed,,,http://www.candaq.com/,https://www.linkedin.com/company/candaq/,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other","Blockchain, FinTech, Incubators, Venture Capital",1,Zihao Lin,51-100,"Early Stage Venture, Initial Coin Offering",,,Private
DeepTech & Climate Fonds,https://www.crunchbase.com/organization/deeptech-climate-fonds,Venture Capital,15,,"Bonn, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",DeepTech & Climate Fonds (DTCF) is a new investment fund operating in the field of cutting-edge technology (deep tech).,7,15,,Active,,,https://dtcf.de/en/,https://www.linkedin.com/company/deeptechandclimatefonds/,,,,,1-10,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Material Ventures,https://www.crunchbase.com/organization/material-ventures,Venture Capital,15,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Material Ventures is a European venture fund backing pre-seed to pre-a companies.,,13,,Active,2022-02-01,day,https://www.material.ventures/,https://www.linkedin.com/company/materialventures/,"Financial Services, Lending and Investments",Venture Capital,2,"Leon Kirchhoff, Piotr Brzezinski",1-10,"Early Stage Venture, Seed",,,Private
Growth Circuit,https://www.crunchbase.com/organization/growth-circuit,"Accelerator, Co-Working Space, Venture Capital",15,3,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Growth Circuit Ventures is ODTU TEKNOKENT's investment fund investing in seed & early stage technology startups.,5,15,,Active,2016-01-01,year,https://www.growthcircuit.co/,https://www.linkedin.com/company/growthcircuit/,"Financial Services, Lending and Investments",Venture Capital,1,Megan Malone,1-10,"Early Stage Venture, Seed",,,Private
Giesecke+Devrient Ventures,https://www.crunchbase.com/organization/Giesecke-Devrient-ventures,Venture Capital,15,3,"München, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Giesecke+Devrient Ventures invests typically in early-stage and selectively later-stage companies in EU27 active in TrustTech.,5,12,,Active,2018-01-01,year,https://www.gi-de.com/en/us/ventures/,https://www.linkedin.com/company/giesecke-devrient,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Internet Services, Other, Payments, Privacy and Security","Blockchain, Cyber Security, Finance, Financial Services, Identity Management, Information Technology, Internet of Things, Payments",,,1-10,"Early Stage Venture, Late Stage Venture, Seed",,,Private
YouNick Mint,https://www.crunchbase.com/organization/younick-mint,Venture Capital,15,,"Poznan, Wielkopolskie, Poland","European Union (EU), Europe, Middle East, and Africa (EMEA)","YouNick Mint builds the value of innovative technologies in the area of: Healthcare, Digital healthcare, Industry 4.0.",14,14,,Active,2016-05-13,day,http://www.younickmint.com,https://linkedin.com/company/younick,"Biotechnology, Consumer Electronics, Food and Beverage, Health Care, Internet Services, Manufacturing, Real Estate, Science and Engineering","Advanced Materials, Biotechnology, Food and Beverage, Health Care, Industrial, Internet of Things, Medical Device, Pharmaceutical, Smart Home",1,Dagmara Nickel,1-10,"Early Stage Venture, Seed",,,Private
güil Mobility Ventures,https://www.crunchbase.com/organization/güil-mobility-ventures,"Accelerator, Corporate Venture Capital, Entrepreneurship Program",15,,"Santiago, Region Metropolitana, Chile",Latin America,güil mobility ventures is a CVC that focuses on developing and co-creating extraordinary mobility startups in Latin America.,6,12,,Active,2019-01-01,year,https://www.guilventures.com/,https://www.linkedin.com/company/g%C3%BCil-mobility-ventures/,Transportation,"Car Sharing, Fleet Management, Last Mile Transportation, Logistics, Public Transportation, Supply Chain Management, Transportation",,,11-50,"Early Stage Venture, Seed",,,Private
JVH Ventures,https://www.crunchbase.com/organization/jvh-ventures,Venture Capital,15,1,"Simmelsdorf, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",JVH Ventures is an investment firm that offers venture capital and makes angel investments for start-ups and entrepreneurs.,,15,,Active,2010-01-01,year,https://jvh-ventures.com/,https://www.linkedin.com/company/jvh-ventures-gmbh/,"Financial Services, Lending and Investments","Angel Investment, Commercial Lending, Venture Capital",1,Johannis Hatt,1-10,"Early Stage Venture, Seed",,,Private
theDOCK,https://www.crunchbase.com/organization/thedock-innovation-hub,Venture Capital,15,,"Haifa, Hefa, Israel","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","A vertical VC firm investing in startups developing technologies for Maritime, Supply Chain, and Offshore sectors",2,12,,Active,2017-01-01,year,https://www.thedockinnovation.com/,https://www.linkedin.com/company/thedock-innovation-hub/,"Financial Services, Information Technology, Lending and Investments, Privacy and Security, Science and Engineering, Transportation","Cyber Security, Financial Services, Logistics, Marine Technology, Ports and Harbors, Supply Chain Management, Venture Capital",2,"Hannan Carmeli, Nir Gartzman",1-10,"Early Stage Venture, Seed, Venture",,,Private
NFQ Capital,https://www.crunchbase.com/organization/nfq-capital,Venture Capital,15,1,"Munich, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",NFQ funds early stage ventures and accelerates them with the support of 400+ specialists for company-building services via NFQ Technologies.,1,12,,Active,2012-01-01,year,http://www.nfq.com/,https://www.linkedin.com/company/nfq-capital/,"Financial Services, Lending and Investments","Financial Services, Venture Capital",3,"Harald Braunstein, Lars Jankowfsky, Wolfgang Heigl",501-1000,"Early Stage Venture, Late Stage Venture, Seed",,,Private
MairDumont Ventures,https://www.crunchbase.com/organization/mairdumont-ventures-gmbh,Venture Capital,15,5,"Ostfildern, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",MairDumont Ventures invests in companies in travel sector.,2,12,,Active,2015-01-01,year,http://www.md-ventures.de/,https://www.linkedin.com/company/mairdumont-ventures-gmbh/,"Financial Services, Lending and Investments, Travel and Tourism","Financial Services, Travel, Venture Capital",1,Frank Mair,1-10,"Private Equity, Venture",,,Private
b10,https://www.crunchbase.com/organization/b10,"Micro VC, Venture Capital",15,2,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",b10 is an investment firm that provides venture capital and financial support services to B2B startups.,9,9,,Active,2015-01-01,year,http://b10.vc/,https://www.linkedin.com/company/b10venturecapital/,"Financial Services, Lending and Investments, Professional Services","Consulting, Finance, Venture Capital",2,"Daniel Hoepfner, Henri Kühnert",1-10,"Early Stage Venture, Seed",,,Private
Phoenix Contact Innovation Ventures,https://www.crunchbase.com/organization/phoenix-contact-innovation-ventures,Corporate Venture Capital,15,3,"Blomberg, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Phoenix Contact Innovation Ventures GmbH is to promote innovation and entrepreneurship.,3,11,1,Active,2015-01-01,year,http://www.phoenixcontact-innovationventures.com/,https://www.linkedin.com/company/phoenix-contact-innovation-ventures,"Financial Services, Lending and Investments, Transportation","Automotive, Financial Services, Venture Capital",1,Andreas Rau,1-10,"Early Stage Venture, Late Stage Venture, Venture",,,Private
365.fintech,https://www.crunchbase.com/organization/365-fintech,"Corporate Venture Capital, Venture Capital",15,1,"Bratislava, Bratislava, Slovakia (Slovak Republic)","European Union (EU), Europe, Middle East, and Africa (EMEA)","365.fintech is a boutique VC focusing on pre-seed & seed API-first, infrastructure & b2b/b2b2c fintech in broader CEE & Baltics.",1,13,,Active,2018-01-01,year,https://www.365fintech.vc,https://www.linkedin.com/company/18594526,,,,,1-10,"Convertible Note, Early Stage Venture, Seed",,,Private
Selvedge Venture,https://www.crunchbase.com/organization/selvedge-venture,Venture Capital,15,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Selvedge Venture is a venture capital advisory and management firm based in London, UK.",4,12,,Active,2021-01-01,year,https://selvedgeventure.com/,https://www.linkedin.com/company/selvedge-venture/about/,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Life Science, Machine Learning",2,"Alasdair Thong, Robert Thong",1-10,"Early Stage Venture, Seed, Venture",,,Private
Hessen Kapital I,https://www.crunchbase.com/organization/hessen-kapital-i-gmbh,Venture Capital,15,2,"Wiesbaden, Hessen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Hessen Kapital I GmbH is an investment management company for growth and innovation in Hessen.,4,14,,Active,,,http://www.hessen-kapital.de/home.htm,,Financial Services,Financial Services,,,,"Early Stage Venture, Seed, Venture",,,Private
QC·VENTURES,https://www.crunchbase.com/organization/q-capital-ventures,Venture Capital,15,2,"Vienna, Wien, Austria","European Union (EU), Europe, Middle East, and Africa (EMEA)",QC·VENTURES is a venture capital firm that provides different stages of funding for companies.,4,12,,Active,2015-01-01,year,https://www.qc-ventures.com,https://www.linkedin.com/company/1598594/,"Financial Services, Lending and Investments","Financial Services, FinTech, Venture Capital",1,Fritz Schweiger,1-10,"Early Stage Venture, Late Stage Venture",,,Private
Inventures,https://www.crunchbase.com/organization/inventures-turkey,"Accelerator, Micro VC, Private Equity Firm, Venture Capital",15,2,"Istanbul, Istanbul, Turkey","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Accelerator / Seed Stage Investor,3,15,,Active,2009-01-01,year,http://www.inventures.com.tr,https://www.linkedin.com/company/5182257,"Commerce and Shopping, Data and Analytics, Financial Services, Hardware, Internet Services, Lending and Investments, Mobile, Professional Services, Software","Analytics, Business Development, E-Commerce, Finance, Internet of Things, Mobile, Retail Technology, Venture Capital",2,"Emir Alkaş, Yomi Kastro",11-50,"Early Stage Venture, Seed",,,Private
Vector Venture Capital,https://www.crunchbase.com/organization/vector-venture-capital-gmbh,Venture Capital,15,7,"Stuttgart, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Vector Venture Capital GmbH is targeted promotion of young start-up companies.,13,13,,Active,2017-01-01,day,http://www.vectorventurecapital.com/,,Financial Services,"Asset Management, Finance, Financial Services",1,Uwe Gerlinger,11-50,"Early Stage Venture, Seed",,,Private
Vito One,https://www.crunchbase.com/organization/vito-one,"Micro VC, Venture Capital",15,4,"Allendorf, Hessen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Vito One is provide seed funding to technology companies with bold ambitions.,1,13,,Active,2015-01-01,year,http://www.vito.one,https://www.linkedin.com/company/vito-one/,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,Daria Saharova,1-10,Seed,,,Private
Global Millennial Capital,https://www.crunchbase.com/organization/global-millennial-capital,Venture Capital,14,1,"Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",An award-winning venture capital firm that utilizes thematic research to invest in disruptive innovation.,,13,,Active,2021-06-01,month,https://globalmillennialcapital.com,https://www.linkedin.com/company/global-millennial-capital-limited/about/?viewAsMember=true,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Other, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Big Data, Blockchain, Decentralized Finance (DeFi), FinTech, SaaS, Software",1,Andreea Danila,51-100,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",,,Private
14Peaks Capital,https://www.crunchbase.com/organization/14peaks-capital,Venture Capital,14,,"Zug, Zug, Switzerland","Europe, Middle East, and Africa (EMEA)",14Peaks is an early-stage investor in B2B Fintech and Enterprise Software companies located in Europe and the United States.,5,13,,Active,2022-01-01,year,https://14peaks.capital/,https://www.linkedin.com/company/14peakscapital,"Administrative Services, Data and Analytics, Financial Services, Software","Analytics, Data Management, Enterprise Software, FinTech, Human Resources, Productivity Tools",1,Edoardo E. Ermotti,1-10,"Early Stage Venture, Seed",,,Private
Cortical Ventures,https://www.crunchbase.com/organization/cortical-ventures,Venture Capital,14,1,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Cortical Ventures is a venture capital investment firm that focuses on investing in AI companies.,6,12,,Active,2021-01-01,year,https://cortical.vc,https://www.linkedin.com/company/cortical-ventures/,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software","Artificial Intelligence (AI), Financial Services, Venture Capital",,,1-10,"Early Stage Venture, Seed",,,Private
Blue Lion,https://www.crunchbase.com/organization/blue-lion-global,Venture Capital,14,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Blue Lion is a tech VC firm backing founders tackling society's largest problems. We focus on health, climate and inclusive finance.",1,12,,Active,2022-02-01,month,https://www.bluelion.co/,https://www.linkedin.com/company/bluelionglobal/,,,1,Manu Gupta,1-10,"Early Stage Venture, Seed",,,Private
Oyster Bay Venture Capital,https://www.crunchbase.com/organization/oyster-bay-75ad,Venture Capital,14,1,"Hamburg, Hamburg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Oyster Bay invests in impact driven founders across the food value chain, from farm to fork.",6,10,1,Active,2018-01-01,year,https://oysterbay.vc,https://www.linkedin.com/company/oysterbayvc/about/,"Agriculture and Farming, Food and Beverage, Hardware, Other, Science and Engineering, Social Impact, Software, Sustainability","AgTech, Food and Beverage, Robotics, Social Impact, Sustainability",2,"Christoph Miller, Felix Leonhardt",11-50,"Early Stage Venture, Seed, Venture",,,Private
Broadway Video Ventures,https://www.crunchbase.com/organization/broadwayvideo-ventures,Corporate Venture Capital,14,7,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Broadway Video Ventures invests across the media, entertainment, and technology sectors.",,14,,Active,1979-01-01,year,http://www.broadwayvideo.com/,https://www.linkedin.com/company/broadway-video,"Financial Services, Lending and Investments, Media and Entertainment, Video","Financial Services, Venture Capital, Video",1,Lorne Michaels,51-100,Early Stage Venture,,,Private
Super Angels,https://www.crunchbase.com/organization/super-angels,"Angel Group, Venture Capital",14,,"Munich, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Super Angels is a investment firm.,,14,,Active,,,https://super-angels.eu,https://www.linkedin.com/company/super-angels,,,,,1-10,Seed,,,Private
Silence VC,https://www.crunchbase.com/organization/silence-vc,Venture Capital,14,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Climatech Venture Capital,1,14,,Active,,,https://www.silencevc.com,https://www.linkedin.com/company/silencevc/,"Commerce and Shopping, Energy, Software, Sustainability","Clean Energy, CleanTech, Marketplace, Software",,,1-10,"Early Stage Venture, Seed",,,Private
DI Technology,https://www.crunchbase.com/organization/divc,Venture Capital,14,2,"Munich, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",We back entrepreneurs building B2B technology companies across Europe and selectively US with a fresh EUR 100m fund.,2,9,,Active,,,https://www.dit.vc/,https://www.linkedin.com/company/di-technology/about/?viewAsMember=true,,,1,Torsten Kreindl,1-10,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Cerulean Ventures,https://www.crunchbase.com/organization/cerulean-ventures,Venture Capital,14,,"Santa Barbara, California, United States","West Coast, Western US",Cerulean Ventures invests in foundational technology to scale climate solutions.,2,14,,Closed,2022-06-15,day,https://cerulean.vc,https://www.linkedin.com/company/cerulean-ventures/,,,2,"Jahed Momand, Matthew Stotts",1-10,"Early Stage Venture, Initial Coin Offering, Seed",,,Private
Onsight Ventures,https://www.crunchbase.com/organization/onsight-ventures,Venture Capital,14,,"Innsbruck, Tirol, Austria","European Union (EU), Europe, Middle East, and Africa (EMEA)",Pan-european early-stage deep-tech VC,,13,,Active,2021-11-01,month,https://www.onsight.vc,https://www.linkedin.com/company/76986714/,,,,,1-10,"Early Stage Venture, Seed",,,Private
Sondo Capital,https://www.crunchbase.com/organization/sondo-capital,Venture Capital,14,,"Oslo, Oslo, Norway","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)","Sondo Capital is an investment firm, that invests in pre-seed and seed stage teams with a link to Norway.",3,13,,Active,2021-01-01,year,https://www.sondo.com,https://www.linkedin.com/company/sondo-capital/,,,2,"Henrik Hatlebrekke, Kjetil Holmefjord",1-10,"Early Stage Venture, Seed",,,Private
Magnetic Capital,https://www.crunchbase.com/organization/magnetic-0499,Venture Capital,14,,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Magnetic Capital is a European technology investment firm investing in critical industries.,5,8,,Active,,,https://www.mgntc.com,https://www.linkedin.com/company/magneticcap,"Financial Services, Lending and Investments",Venture Capital,2,"David Rosskamp, Mario Lebherz",1-10,"Early Stage Venture, Late Stage Venture, Seed",,,Private
L2 Iterative Venture,https://www.crunchbase.com/organization/l2-iterative-venture,Venture Capital,14,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",L2 Iterative Venture is a web3 arm of L2 capital management.,1,13,,Active,2022-01-01,year,https://www.l2iterative.com,https://www.linkedin.com/company/l2iv,,,,,1-10,"Early Stage Venture, Seed",,,Private
w3.fund,https://www.crunchbase.com/organization/w3-fund,Venture Capital,14,1,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Fueling Web3 straight from Berlin. We support the growth of the Web3 ecosystem with community, content, and cash... and a lot of pizza!",,14,,Active,2021-11-01,month,https://www.w3.fund/,https://www.linkedin.com/company/w3fund/,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency",3,"Feliks Eyser, Marcel Hollerbach, Michael von Roeder",1-10,"Early Stage Venture, Initial Coin Offering, Seed",,,Private
Zukunftsfonds Heilbronn,https://www.crunchbase.com/organization/zukunftsfonds-heilbronn,Venture Capital,14,1,"Heilbronn, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Zukunftsfonds Heilbronn is a venture capital that caters to technology-oriented companies in the South of Germany.,6,13,,Active,2005-01-01,year,http://www.zf-hn.de,https://www.linkedin.com/company/zukunftsfonds-heilbronn-zfhn-/about/,Financial Services,"Finance, Financial Services",1,Thomas R. Villinger,11-50,Seed,,Made Acquisitions,Private
Impact Ventures Hungary,https://www.crunchbase.com/organization/impact-ventures-hungary,"Private Equity Firm, Venture Capital",14,1,"Budapest, Budapest, Hungary","European Union (EU), Europe, Middle East, and Africa (EMEA)",Impact Ventures is a specialist fund manager focusing on Impact Investments,7,11,,Active,2018-01-01,year,https://impactventures.hu/,https://www.linkedin.com/company/impactventures,,,1,Gergely Ivancsics,1-10,"Early Stage Venture, Seed, Venture",,,Private
SmartEnergy Innovation Fund,https://www.crunchbase.com/organization/smartenergy-innovation-fund,Corporate Venture Capital,14,1,"Zürich, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)",SmartEnergy Innovation Fund invests in the energy equipment and cleantech industries.,11,11,,Active,2015-06-29,day,https://www.energie360.ch/en/company/innovation-fund/,,,,,,1-10,"Early Stage Venture, Seed",,,Private
Gentian Investments,https://www.crunchbase.com/organization/gentian-investments,"Angel Group, Venture Capital",14,2,"Kilchberg, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)",Early-stage investment company with focus on technology in Central Europe,1,14,,Active,2017-02-22,day,http://gentian.investments,https://www.linkedin.com/company/gentian/about/,,,2,"Elian Kool, Gerhard Gerner",1-10,"Early Stage Venture, Seed",,,Private
GENIUS Venture Capital,https://www.crunchbase.com/organization/genius-venture-capital,Venture Capital,14,2,"Schwerin, Mecklenburg-Vorpommern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","GENIUS Venture Capital is a venture capital firm focused on investments in small- and medium-sized, technology-oriented companies.",6,11,,Active,1998-01-01,year,http://genius-vc.de,https://www.linkedin.com/company/genius-venture-capital/,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,Uwe Bräuer,1-10,"Early Stage Venture, Seed",,,Private
MBG Schleswig-Holstein,https://www.crunchbase.com/organization/mbg-schleswig-holstein,Venture Capital,14,2,"Kiel, Schleswig-Holstein, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",MBG Schleswig-Holstein is a micro-venture capital company specialized in seed investments.,4,12,,Active,1994-01-01,year,http://www.mbg-sh.de,https://www.linkedin.com/company/mbg-sh/,"Financial Services, Other","Consumer, Financial Services",,,11-50,"Early Stage Venture, Seed, Venture",,,Private
Vogel Ventures,https://www.crunchbase.com/organization/vogel-ventures-2,Corporate Venture Capital,14,2,"Würzburg, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Vogel Ventures is an early-stage investment company that provides address solutions, data analysis, event solutions, and more.",,9,,Active,1891-01-01,year,http://vogelventures.de,https://www.linkedin.com/company/vogel-communications-group/,"Data and Analytics, Design, Financial Services, Sales and Marketing","Analytics, Finance, Financial Services, Market Research, Marketing",,,501-1000,"Early Stage Venture, Seed, Venture",,,Private
startup300,https://www.crunchbase.com/organization/startup300,Venture Capital,14,1,"Linz, Oberosterreich, Austria","European Union (EU), Europe, Middle East, and Africa (EMEA)",startup300 operates as an angel investor network and business accelerator offering services to Austrian startups.,1,11,,Active,2015-01-01,year,http://startup300.at,https://www.linkedin.com/company-beta/10393303/,"Financial Services, Lending and Investments","Banking, Financial Services",2,"Michael Eisler, Wolfgang Reisinger",1-10,"Early Stage Venture, Seed",,Made Acquisitions,Private
Berlin Metropolitan Ventures,https://www.crunchbase.com/organization/berlin-metropolitan-ventures,Venture Capital,14,,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Berlin Metropolitan Ventures is an investment firm and incubator that focuses on seed and pre-seed opportunities.,8,14,,Active,2010-01-01,year,http://berlin-metropolitan-ventures.com,https://www.linkedin.com/company/berlin-metropolitan-ventures-holding-gmbh-&-co-kg,"Financial Services, Lending and Investments","Incubators, Venture Capital",1,Félix Charif Schaal,1-10,"Private Equity, Seed",,,Private
MZ Web3 Fund,https://www.crunchbase.com/organization/mz-web3-fund,Venture Capital,14,,"Tokyo, Tokyo, Japan",Asia-Pacific (APAC),MZ Web3 Fund is a venture capital firm that supports all Web3 projects with a focus on their entry into the market.,1,14,,Active,,,https://web3.mzfund.co.jp/en/index.html,,"Blockchain and Cryptocurrency, Internet Services",Web3,,,1-10,"Early Stage Venture, Seed",,,Private
Koinvesticinis Fondas,https://www.crunchbase.com/organization/koinvesticinis-fondas,Venture Capital,14,,"Vilnius, Vilniaus Apskritis, Lithuania","European Union (EU), Europe, Middle East, and Africa (EMEA)",Koinvesticinis Fondas is an investment Firm.,7,12,,Active,2017-01-01,year,https://www.koinvest.lt/,https://www.linkedin.com/company/koinvesticinis-fondas/,"Financial Services, Lending and Investments",Venture Capital,,,,Seed,,,Private
Otto Capital,https://www.crunchbase.com/organization/otto-capital,Venture Capital,14,3,"Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US","Otto Capital invests in real estate, oil and gas, recycling, retail, and health care industries.",1,9,1,Active,2008-01-01,year,http://www.ottocapital.com/#,https://www.linkedin.com/company/otto-capital-llc/about/,"Financial Services, Lending and Investments","Credit, Financial Services, Venture Capital",1,David Otto,1-10,"Early Stage Venture, Seed",,,Private
CryptoDiscover,https://www.crunchbase.com/organization/cryptodiscover,"Incubator, Venture Capital",14,,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",CryptoDiscover is an Asia-focused blockchain investment and advisory firm.,,13,,Active,2020-01-01,year,https://cryptodiscover.io,https://www.linkedin.com/company/cryptodiscover/,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, FinTech",,,11-50,"Early Stage Venture, Seed, Venture",,,Private
Vento,https://www.crunchbase.com/organization/vento-db57,Venture Capital,13,,"Torino, Piemonte, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",Vento is a venture firm Empowering the next generation of exceptional talents by building disruptive ventures and investing.,3,11,,Active,2022-01-01,year,https://www.vento.ventures,https://www.linkedin.com/company/vento-ventures,"Financial Services, Lending and Investments",Venture Capital,2,"Gionatan Cernusco, Mario Trerotola",1-10,"Early Stage Venture, Seed",,,Private
