Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Lead Investments,Number of Portfolio Organizations,Number of Exits (IPO),Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industry Groups,Industries,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status
Hatcher+,https://www.crunchbase.com/organization/hatcher,"Micro VC, Venture Capital",154,7,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Hatcher+ offers a data-driven venture firm that uses AI/ML-based technologies to identify early-stage opportunities.,91,151,1,Active,2016-06-29,day,https://hq.hatcher.com,http://www.linkedin.com/company/hatcher,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Big Data, FinTech, Incubators, Machine Learning, Venture Capital",3,"Dan Hoogterp, John Sharp, Wissam Otaky",11-50,"Early Stage Venture, Seed",For Profit,,Private
Runa Capital,https://www.crunchbase.com/organization/runa-capital,Venture Capital,154,25,"Luxembourg, Luxembourg, Luxembourg","European Union (EU), Europe, Middle East, and Africa (EMEA)","Runa Capital is a Luxembourg-based VC focusing on Deeptech, enterprise software and fintech infrastructure.",74,116,1,Active,2010-01-01,year,http://runacap.com,http://www.linkedin.com/company/runa-capital,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Software, Finance, FinTech, Machine Learning, Open Source, Quantum Computing, SaaS, Venture Capital",3,"Dmitry Chikhachev, Ilya Zubarev, Serg Bell",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Square Peg Capital,https://www.crunchbase.com/organization/square-peg-capital,Venture Capital,153,14,"Richmond, Virginia, United States","East Coast, Southern US","Square Peg invests in emerging technology companies across the internet economy in Australia and New Zealand, South-East Asia, and Israel.",72,89,5,Active,2012-01-01,year,http://www.squarepegcap.com,https://www.linkedin.com/company/square-peg-capital/,"Financial Services, Lending and Investments, Professional Services","Business Development, Finance, Financial Services, Venture Capital",4,"Barry Brott, Justin Liberman, Paul Bassat, Tony Holt",11-50,"Early Stage Venture, Late Stage Venture, Post-Ipo, Secondary Market, Seed, Venture",,,Private
LD Capital,https://www.crunchbase.com/organization/ld-capital,"Hedge Fund, Venture Capital",152,4,"Shanghai, Shanghai, China",Asia-Pacific (APAC),LD Capital is an VC investors in the blockchain field in Asia.,13,143,,Active,2017-01-01,year,http://ldcap.com/,https://www.linkedin.com/company/ld-capital/,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Internet Services, Other","Blockchain, Finance, FinTech, Information Technology, Internet",2,"Blake G., Huawei Kong",11-50,"Secondary Market, Seed, Venture",,,Private
Fifty Years,https://www.crunchbase.com/organization/fifty-years,"Micro VC, Venture Capital",150,7,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Fifty Years is an early stage VC fund backing entrepreneurs solving the world's biggest problems.,30,85,,Active,2015-01-01,year,http://fiftyyears.com/,https://www.linkedin.com/company/10774072,"Biotechnology, Financial Services, Lending and Investments, Science and Engineering","Impact Investing, Life Science, Venture Capital",2,"Ela Madej, Seth Bannon",11-50,"Early Stage Venture, Late Stage Venture, Seed",,,Private
Borderless Capital,https://www.crunchbase.com/organization/borderless-capital,"Accelerator, Fund Of Funds, Venture Capital",150,,"Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",Borderless Capital is a Web3-native investment manager with focus on fostering dynamic blockchain ecosystems.,55,131,,Active,2018-01-01,year,https://borderlesscapital.io/,https://www.linkedin.com/company/borderlesscapital/,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Internet Services, Lending and Investments, Other","Blockchain, Financial Services, FinTech, Information Services, Venture Capital, Web3",2,"Arul Murugan, David García",11-50,"Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed, Venture",,Made Acquisitions,Private
CMS Holdings,https://www.crunchbase.com/organization/cms-holdings,Venture Capital,150,2,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",CMS Holdings is a principal investment firm that focuses on making investments across the cryptoasset ecosystem.,7,140,,Active,2019-01-01,year,http://cmsholdings.fund,https://www.linkedin.com/compaany/cms-holdings-llc/about/,"Blockchain and Cryptocurrency, Financial Services, Payments, Software","Cryptocurrency, Finance, Financial Services",1,Daniel Matuszewski,1-10,"Early Stage Venture, Seed",,,Private
M Ventures,https://www.crunchbase.com/organization/merckventures,"Corporate Venture Capital, Venture Capital",147,15,"Amsterdam, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",M Ventures invests in innovative technologies and products with the potential to significantly impact Merck‘s core business areas.,58,96,8,Active,2009-01-01,month,https://www.m-ventures.com/,https://www.linkedin.com/company/merck-ventures/,"Biotechnology, Financial Services, Hardware, Health Care, Lending and Investments, Science and Engineering","Biotechnology, Life Science, Pharmaceutical, Semiconductor, Venture Capital",,,11-50,"Early Stage Venture, Late Stage Venture, Seed",,,Private
468 Capital,https://www.crunchbase.com/organization/468-capital,Venture Capital,146,11,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",468 Capital is an investment firm that identifies and manages opportunities across various markets and industries.,59,118,1,Active,2020-01-01,year,https://www.468cap.com,https://www.linkedin.com/company/468-capital/,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",4,"Alexander Kudlich, Diogo Cunha, Florian Leibert, Ludwig Ensthaler",11-50,Early Stage Venture,,,Private
CoinFund,https://www.crunchbase.com/organization/coinfund,"Hedge Fund, Venture Capital",145,3,"Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",CoinFund is a private cryptoasset investor and blockchain research and advisory firm that focuses on crypto and blockchain investments.,50,116,1,Active,2015-07-01,day,http://coinfund.io,https://www.linkedin.com/company/coinfund,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software","Asset Management, Bitcoin, Blockchain, Cryptocurrency, Financial Services, Trading Platform, Venture Capital",2,"Aleksandr Bulkin, Jake Brukhman",11-50,"Early Stage Venture, Initial Coin Offering, Seed, Venture",,,Private
TheVentureCity,https://www.crunchbase.com/organization/the-venture-city,"Accelerator, Venture Capital",144,10,"Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",TheVentureCity is a global early-stage venture fund that invests in product-centric startups.,18,114,,Active,2017-01-01,year,https://www.theventure.city,https://www.linkedin.com/company/11150747/,"Financial Services, Lending and Investments","Financial Services, Impact Investing, Venture Capital",1,Laura Gonzalez-Estefani,1-10,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
IRIS,https://www.crunchbase.com/organization/iris-capital,Venture Capital,144,40,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",IRIS is a tech VC and growth firm,59,97,2,Active,1986-01-01,day,https://www.iris.vc,http://www.linkedin.com/company/iris-capital-management,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",2,"Antoine Garrigues, Pierre de Fouquet",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Robot Ventures,https://www.crunchbase.com/organization/robot-ventures,Venture Capital,143,4,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Robot Ventures is a (pre-)seed investor in exceptional fintech and blockchain companies.,8,137,,Active,2018-12-01,month,https://robvc.com/,,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other","Blockchain, Venture Capital",2,"Robert Leshner, Tarun Chitra",1-10,"Early Stage Venture, Initial Coin Offering, Seed, Venture",,,Private
Framework Ventures,https://www.crunchbase.com/organization/framework-ventures,Venture Capital,142,1,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Framework Ventures is a venture capital firm that invests in founders that enable blockchain technologies.,84,117,,Active,2019-01-01,year,http://framework.ventures,https://www.linkedin.com/company/framework-ventures,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software","Blockchain, Cryptocurrency, Venture Capital",2,"Michael Anderson, Vance Spencer",11-50,"Early Stage Venture, Initial Coin Offering, Seed, Venture",,,Private
Seraphim Space,https://www.crunchbase.com/organization/seraphim-capital,Venture Capital,142,5,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",We support space entrepreneurship from inception to exit. We are the global industry leader.,46,102,3,Active,2006-09-17,day,https://seraphim.vc,https://www.linkedin.com/company/seraphim-space/,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",5,"Anthony Clarke, Benoît-Marie Flach, James Bruegger, Mark Boggett, Rob Desborough",11-50,"Early Stage Venture, Late Stage Venture, Venture",For Profit,,Public
Karista,https://www.crunchbase.com/organization/karista,Venture Capital,142,32,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)","VC firm with a focus on early-stage innovative companies with high-growth potential in Health, Digital, Tech, and NewSpace.",22,94,7,Active,2001-01-01,day,https://www.karista.vc/,http://linkedin.com/company/karistavc,"Financial Services, Lending and Investments",Venture Capital,1,Olivier Dubuisson,1-10,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed",,Made Acquisitions,Private
Amazon Alexa Fund,https://www.crunchbase.com/organization/amazon-alexa-fund,"Corporate Venture Capital, Venture Capital",141,22,"Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",Amazon Alexa Fund provides up to $200 million in venture capital funding to fuel voice technology innovation.,40,113,3,Active,2015-01-01,year,http://www.amazon.com,http://linkedin.com/company/amazon-alexa-fund,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Financial Services, Hardware, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Consumer Electronics, Consumer Software, Enterprise Software, FinTech, Hardware, Information Technology, Internet of Things, Software",2,"Paul Bernard, Zain Gulamali",1-10,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
TGFS - Technologiegründerfonds Sachsen,https://www.crunchbase.com/organization/technologiegrnderfonds-sachsen,Venture Capital,141,9,"Leipzig, Sachsen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",TGFS invests in start ups and young companies in the high technology area headquartered or located in Saxony.,31,99,,Active,2008-01-01,year,https://www.cfh.de,https://www.linkedin.com/company/tgfs/,"Financial Services, Lending and Investments, Software","Enterprise Software, Venture Capital",,,11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Big Idea Ventures,https://www.crunchbase.com/organization/big-idea-ventures,"Accelerator, Micro VC, Venture Capital",140,6,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Solving the world's greatest challenges by backing the world's best entrepreneurs, scientists and engineers",62,117,,Active,2018-11-19,day,https://bigideaventures.com,https://linkedin.com/company/bigideaventures,"Agriculture and Farming, Biotechnology, Food and Beverage, Health Care, Science and Engineering","AgTech, Alternative Protein, Biotechnology, Food and Beverage, Nutrition",1,Andrew D. Ive,11-50,"Early Stage Venture, Private Equity, Seed, Venture",,,Private
1kx,https://www.crunchbase.com/organization/1kx,Venture Capital,140,2,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",1kx is a crypto investment firm that specializes in ecosystem growth.,60,118,,Active,2018-01-01,year,http://1kx.network,https://www.linkedin.com/company/1kxnetwork/,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Lending and Investments, Other, Payments, Software","Blockchain, Cryptocurrency, Finance, Information Technology, Venture Capital",2,"Christopher Heymann, Lasse Clausen",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Rethink Education,https://www.crunchbase.com/organization/rethink-education,Venture Capital,140,26,"White Plains, New York, United States","Greater New York Area, East Coast, Northeastern US",Rethink Education is a venture capital fund focusing exclusively on education technology that invests in early- and growth-stage startups.,48,92,1,Active,2012-01-01,day,http://rethink.vc/education,https://www.linkedin.com/company/rethink-education-fund,"Education, Financial Services, Lending and Investments, Professional Services, Software","Business Development, EdTech, Enterprise Software, Financial Services, Impact Investing, Venture Capital",3,"Jenny Abramson, Matthew Greenfield, Richard Segal",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Deutsche Telekom Strategic Investments,https://www.crunchbase.com/organization/t-venture,"Corporate Venture Capital, Venture Capital",140,53,"Seoul, Seoul-t'ukpyolsi, South Korea",Asia-Pacific (APAC),"Deutsche Telekom Strategic Investments is managed by Deutsche Telekom Capital Partners, the investment management Group of Deutsche Telekom.",30,103,4,Active,1997-06-01,month,https://www.dtcp.capital,https://www.linkedin.com/company/dtcp-capital,"Financial Services, Hardware, Lending and Investments","Finance, Financial Services, Telecommunications, Venture Capital",1,Thomas Abraham,51-100,"Early Stage Venture, Late Stage Venture",,,Private
Possible Ventures,https://www.crunchbase.com/organization/possible-ventures,Venture Capital,139,3,"Munich, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Possible Ventures backs ambitious teams building frontier technology to positively impact people and the planet.,7,115,,Active,2021-01-01,year,https://possible.ventures,https://www.linkedin.com/company/possible-vc,,,1,Chris Hitchen,1-10,"Early Stage Venture, Seed",,,Private
Base10 Partners,https://www.crunchbase.com/organization/base10-partners,Venture Capital,138,4,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Base10 is an early-stage venture capital firm investing in the automation of the real economy.,76,94,,Active,2017-01-01,year,https://base10.vc/,https://www.linkedin.com/company/base10-partners,"Financial Services, Lending and Investments","Financial Services, FinTech, Venture Capital",2,"Adeyemi Ajao, TJ Nahigian",11-50,"Early Stage Venture, Seed",,,Private
Third Sphere,https://www.crunchbase.com/organization/urban-us,Venture Capital,137,10,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Early-stage fund focused on rapid, scalable climate action and targeting outsized impact and outsized returns.",13,94,,Active,2013-11-01,day,https://thirdsphere.com,https://www.linkedin.com/company/third-sphere/,"Financial Services, Government and Military, Information Technology, Lending and Investments, Real Estate, Sustainability","CleanTech, GovTech, Real Estate, Smart Building, Venture Capital",2,"Shaun Abrahamson, Stonly Baptiste Blue",11-50,"Debt, Early Stage Venture, Private Equity, Seed, Venture",For Profit,,Private
Unusual Ventures,https://www.crunchbase.com/organization/unusual-ventures,Venture Capital,137,15,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Unusual Ventures is a venture capital firm that focuses on early-stage investments in AI, cybersecurity, and fintech startups.",44,93,1,Active,2018-01-01,year,https://new.unusual.vc,https://www.linkedin.com/company/unusualventures,"Financial Services, Lending and Investments, Professional Services","Business Development, Finance, Financial Services, Venture Capital",2,"John Vrionis, Jyoti Bansal",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
PSV,https://www.crunchbase.com/organization/preseed-innovation,Venture Capital,137,26,"Lyngby, Hovedstaden, Denmark","European Union (EU), Nordic Countries, Scandinavia","As a venture house, our mission is to clear the path for founders who build companies that matter.",47,105,4,Active,2000-01-01,year,https://psv.xyz,https://www.linkedin.com/company/psv-venturehouse/,"Financial Services, Lending and Investments",Venture Capital,4,"Anders Kjær, Christel Piron, Helle Uth, Richard Breiter",11-50,"Early Stage Venture, Seed, Venture",,,Private
Tiny VC,https://www.crunchbase.com/organization/tiny-vc,Venture Capital,136,15,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Early Stage Investments by Philipp Moehring, Andy Chung, Ophelia Cai and Sandra Lyness",,132,,Active,2017-01-01,year,https://www.tiny.vc/,https://www.linkedin.com/company/tinyvc,"Financial Services, Lending and Investments, Professional Services","Angel Investment, Business Development, Financial Services, Venture Capital",3,"Andy Chung, Philipp Moehring, Stella Schuck",1-10,"Early Stage Venture, Seed",,,Private
Seedstars,https://www.crunchbase.com/organization/seedstars,"Accelerator, Co-Working Space, Startup Competition, Venture Capital",135,7,"Geneva, Geneve, Switzerland","Europe, Middle East, and Africa (EMEA)",Impacting people’s lives in emerging & frontier markets through technology and entrepreneurship,42,120,,Active,2012-09-01,day,https://www.seedstars.com/,https://www.linkedin.com/company/seedstars/,"Financial Services, Lending and Investments",Venture Capital,5,"Adrien de Loes, Charlie Graham-Brown, Michael Weber, Patricia Sosrodjojo, Pierre-Alain Masson",101-250,"Convertible Note, Early Stage Venture, Grant, Seed, Venture",,,Private
AgFunder,https://www.crunchbase.com/organization/agfunder,"Micro VC, Venture Capital",135,8,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",AgFunder invests in impactful companies that can positively transform the world's food system.,33,102,1,Active,2013-09-01,day,http://agfunder.com,http://www.linkedin.com/company/agfunder,"Agriculture and Farming, Financial Services, Food and Beverage","Agriculture, AgTech, FinTech, Food and Beverage",3,"Melissa Tilney, Michael Dean, Rob Leclerc",11-50,"Convertible Note, Early Stage Venture, Seed",,,Private
Startupbootcamp Australia,https://www.crunchbase.com/organization/startupbootcamp-energy-australia,"Accelerator, Angel Group, Venture Capital",135,3,"Melbourne, Victoria, Australia","Asia-Pacific (APAC), Australasia",Startupbootcamp Australia is the leading global accelerator for innovative startups solving problems that make the world a better place.,29,134,1,Active,2018-01-01,year,https://www.startupbootcamp.com.au,https://www.linkedin.com/showcase/startupbootcamp-australia,"Energy, Financial Services, Food and Beverage, Natural Resources, Sports, Sustainability","Clean Energy, Energy, Energy Efficiency, Energy Storage, FinTech, Food and Beverage, Renewable Energy, Solar, Sports, Wind Energy",3,"Richard Celm, Ruud Hendriks, Trevor Townsend",11-50,"Early Stage Venture, Seed",,,Private
6th Man Ventures,https://www.crunchbase.com/organization/6th-man-ventures,Venture Capital,134,4,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","6th Man Ventures is investing in Web3 projects, protocols, and companies.",13,125,,Active,2021-03-01,month,https://www.6thman.ventures,https://www.linkedin.com/company/6mv/?viewAsMember=true,,,2,"Mike Dudas, Serge Kassardjian",1-10,"Early Stage Venture, Seed",,,Private
Connect Ventures,https://www.crunchbase.com/organization/connect-ventures,"Micro VC, Venture Capital",134,19,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Connect Ventures invests in the best product-led companies in Europe at seed stage. Categories: Consumer, Health, Fintech, SaaS",70,95,,Active,2012-01-01,day,http://www.connectventures.co/,https://www.linkedin.com/company/connect-ventures/,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,Pietro Bezza,1-10,Seed,,Was Acquired,Private
Hedosophia,https://www.crunchbase.com/organization/hedosophia,Venture Capital,134,21,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Hedosophia is a global investment firm supporting category defining technology companies,62,117,14,Active,2012-01-01,year,http://www.hedosophia.com,https://www.linkedin.com/company/hedosophia,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,Ian Osborne,51-100,"Early Stage Venture, Late Stage Venture, Seed",,,Private
Fin Capital,https://www.crunchbase.com/organization/fin-venture-capital,"Private Equity Firm, Venture Capital",133,10,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Fin is an asset management firm specializing in B2B Fintech Software,41,101,1,Active,2018-06-01,month,https://fin.capital/,https://www.linkedin.com/company/finvc/,"Financial Services, Lending and Investments, Software","Enterprise Software, Financial Services, FinTech, SaaS, Venture Capital",1,Logan Allin,11-50,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Private Equity, Secondary Market, Seed, Venture",,,Private
Owl Ventures,https://www.crunchbase.com/organization/owl-ventures-lp,Venture Capital,133,15,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Owl Ventures is a venture capital fund that invests in education technology companies.,75,91,,Active,2014-01-01,year,http://www.owlvc.com,http://www.linkedin.com/company/3855155,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",2,"Jed Smith, Tory Patterson",11-50,"Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",,,Private
FinTech Collective,https://www.crunchbase.com/organization/fintech-collective,Venture Capital,132,12,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","FinTech Collective is a New York-based venture capital fund, focused exclusively on financial services technology companies.",39,85,1,Active,2012-09-01,day,http://www.fintech.io,http://www.linkedin.com/company/fintech-collective,"Financial Services, Lending and Investments","Financial Services, FinTech, Venture Capital",2,"Brooks Gibbins, Gareth Jones",11-50,"Early Stage Venture, Initial Coin Offering, Late Stage Venture, Private Equity, Seed, Venture",,Made Acquisitions,Private
Berkeley SkyDeck Fund,https://www.crunchbase.com/organization/berkeley-skydeck-fund,"Accelerator, University Program, Venture Capital",132,4,"Berkeley, California, United States","San Francisco Bay Area, West Coast, Western US",Berkeley SkyDeck Fund is an investment Arm Behind UC Berkeley's SkyDeck Accelerator.,14,121,,Active,2017-10-01,month,http://www.skydeck.vc/,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",3,"Chon Tang, Gopakumar Balakrishnan, Todd Roberts",1-10,Seed,,,Private
March Capital,https://www.crunchbase.com/organization/march-capital-partners,Venture Capital,132,19,"Santa Monica, California, United States","Greater Los Angeles Area, West Coast, Western US",March Capital is a venture growth firm that seeks to invest in the digital transformation of cloud-based software.,60,83,3,Active,2014-06-30,day,http://www.marchcp.com,https://www.linkedin.com/company/march-capital,"Financial Services, Information Technology, Lending and Investments, Professional Services","Business Development, Information Technology, Venture Capital",5,"Gregory Milken, Jamie Montgomery, Jim Armstrong, Richard Rice, Sumant Mandal",11-50,"Early Stage Venture, Late Stage Venture",,,Private
Dolby Family Ventures,https://www.crunchbase.com/organization/dolby-family-ventures,Venture Capital,132,20,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Dolby Family Ventures is an early stage venture firm focused on building great technology companies.,9,88,6,Active,2014-01-01,year,http://dolbyventures.com,https://www.linkedin.com/company/dolbyventures/,"Financial Services, Lending and Investments, Media and Entertainment","Angel Investment, Digital Media, Venture Capital",,,1-10,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Portfolia,https://www.crunchbase.com/organization/portfolia,Venture Capital,131,15,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Portfolia is an investment funds designed for women, backing innovative companies for returns and impact",2,100,3,Active,2013-01-01,year,https://www.portfolia.co,http://www.linkedin.com/company/portfolia,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,Trish Costello,101-250,"Early Stage Venture, Late Stage Venture, Seed, Venture",For Profit,,Private
Third Prime,https://www.crunchbase.com/organization/third-prime,Venture Capital,131,9,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",A venture capital firm that partners with exceptional entrepreneurs from the earliest stage,49,89,1,Active,2016-01-01,day,http://www.thirdprime.vc,https://www.linkedin.com/company/15189541,"Financial Services, Lending and Investments, Manufacturing","Finance, Financial Services, Industrial, Venture Capital",2,"Keith Hamlin, Wes Barton",1-10,"Early Stage Venture, Seed, Venture",,,Private
BMW i Ventures,https://www.crunchbase.com/organization/bmw-ventures,Corporate Venture Capital,131,23,"Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",BMW i Ventures focuses on BMW’s current and future business in the technology and service space.,46,82,8,Active,2011-02-01,day,http://www.bmwiventures.com,https://www.linkedin.com/company/bmw-i-ventures,"Financial Services, Lending and Investments, Transportation","Automotive, Finance, Venture Capital",,,11-50,"Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
TQ Ventures,https://www.crunchbase.com/organization/tq-ventures,Venture Capital,130,11,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",TQ Ventures is an investment firm that focuses on early-stage and growth-stage companies.,21,95,2,Active,2018-01-01,year,https://www.tqventures.com/,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",3,"Andrew Marks, Schuster Tanger, Scooter Braun",1-10,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Mobile Internet Capital,https://www.crunchbase.com/organization/mobile-internet-capital,Venture Capital,130,25,"Tokyo, Tokyo, Japan",Asia-Pacific (APAC),Mobile Internet Capital (MIC) invests in mobile internet technologies.,28,104,12,Active,1999-11-11,day,http://www.mickk.com,https://www.linkedin.com/company/mobile-internet-capital-inc./,"Financial Services, Hardware, Lending and Investments, Mobile, Science and Engineering","Mobile, Semiconductor, Venture Capital",,,1-10,Late Stage Venture,,,Private
Toba Capital,https://www.crunchbase.com/organization/toba-capital,Venture Capital,130,29,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Toba Capital is an investment firm committed to helping create incredible technology companies.,52,78,3,Active,2012-01-01,year,http://tobacapital.com,http://www.linkedin.com/company/toba-capital,"Financial Services, Information Technology, Lending and Investments","Information Technology, Venture Capital",2,"Steve Goodman, Vinny Smith",11-50,"Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",,,Private
Addition,https://www.crunchbase.com/organization/addition-7af4,"Private Equity Firm, Venture Capital",129,8,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Addition invests in founder-led, technology-enabled companies.",71,75,2,Active,2019-09-01,month,https://addition.com,https://www.linkedin.com/company/additionvc,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,Lee Fixel,11-50,"Early Stage Venture, Private Equity",,,Private
Eight Capital,https://www.crunchbase.com/organization/eight-capital,Venture Capital,129,13,"Mumbai, Maharashtra, India",Asia-Pacific (APAC),Eight Capital to invest in distressed and special situation opportunities in India.,8,126,11,Active,2005-01-01,year,http://www.eightcapital.com/,https://www.linkedin.com/company/eight-capital,"Financial Services, Lending and Investments","Finance, Financial Services, Impact Investing, Venture Capital",1,Vikram Chachra,1-10,"Late Stage Venture, Post-Ipo, Venture",,,Private
Pillar VC,https://www.crunchbase.com/organization/pillar-companies-2,Venture Capital,128,14,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England","Pillar VC invests in seed-stage companies, supporting unstoppable founders with capital, connections, coaching, and peer support.",22,80,3,Active,2016-01-01,year,http://pillar.vc/,https://www.linkedin.com/company/pillar-vc/,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",5,"Ash Ashutosh, Jamie Goldstein, Russ Wilcox, Sarah Hodges, Yvonne Hao",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Felix Capital,https://www.crunchbase.com/organization/felix-capital,Venture Capital,128,12,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Felix Capital is a venture fund that focuses on digital commerce, digital media, and information technology companies.",47,68,3,Active,2014-01-01,year,http://www.felixcap.com,https://www.linkedin.com/company/felix-capital,"Financial Services, Lending and Investments, Professional Services","Consulting, Finance, Financial Services, FinTech, Venture Capital",3,"Abir Basak, Antoine Nussenbaum, Frederic Court",11-50,"Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",,,Private
R/GA Ventures,https://www.crunchbase.com/organization/r-ga-ventures,Corporate Venture Capital,128,23,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",R/GA Ventures is R/investment GA's arm that assists industry leaders in capitalizing on disruptive technologies.,2,119,1,Active,2013-08-01,day,https://ventures.rga.com,https://www.linkedin.com/company/rgaventures,"Financial Services, Lending and Investments, Professional Services","Business Development, Finance, Financial Services, Venture Capital",1,Nick Coronges,11-50,"Convertible Note, Early Stage Venture, Seed, Venture",,,Private
ParaFi Capital,https://www.crunchbase.com/organization/parafi-capital,"Hedge Fund, Private Equity Firm, Venture Capital",128,3,"Greenwich, Connecticut, United States","East Coast, New England, Northeastern US",ParaFi is an alternative asset management and technology firm operating liquid and venture strategies focused on the digital asset ecosystem,39,117,2,Active,2018-01-01,year,https://www.parafi.com,https://www.linkedin.com/company/paraficapital/,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other","Blockchain, Decentralized Finance (DeFi), Finance, Financial Services, Venture Capital",1,Benjamin Forman,11-50,,For Profit,,Private
